prefLabel,id,from_to,matchType,text
Subjective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88182,5-14|108-117|1695-1704|1893-1902|1959-1968|2157-2166|2252-2261|2499-2508|2911-2920|3247-3256|4079-4088|4234-4243|4541-4550|5436-5445|6191-6200|6485-6494|6588-6597|6730-6739|7033-7042|7480-7489|7590-7599|8416-8425|10006-10015|10214-10223|10260-10269|11002-11011|11509-11518|11709-11718|12098-12107|12213-12222|12266-12275|12649-12658|13105-13114|13203-13212|13946-13955|14580-14589|14953-14962,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE|SUBJECTIVE
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,16-25|129-138|3684-3693|4245-4254|7044-7053|8427-8436|8917-8926|13116-13125|13957-13966|14964-14973|17011-17020,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
Emotion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54266,30-36|119-127|175-181|377-385|484-491|513-520|592-600|777-784|906-913|1017-1025|1149-1156|1212-1220|1360-1367|1412-1418|1684-1690|1811-1819|2168-2176|2263-2271|2641-2647|2702-2708|2777-2784|2899-2906|4657-4665|5226-5234|5333-5341|7668-7674|7891-7897|7945-7953|8267-8275|8583-8591|8634-8640|8683-8691|8741-8749|13510-13517|13753-13761|14021-14028|14978-14984|15333-15339|15575-15582|15632-15639|15872-15880|16527-16533|16613-16621|16674-16680|16717-16723|16786-16793|16938-16944|16971-16977|17025-17031|17105-17113,PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|SYN|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|SYN,EMOTION|EMOTIONAL|EMOTION|EMOTIONAL|EMOTIONS|EMOTIONS|EMOTIONAL|EMOTIONS|EMOTIONS|EMOTIONAL|EMOTIONS|EMOTIONAL|EMOTIONS|EMOTION|EMOTION|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTION|EMOTION|EMOTIONS|EMOTIONS|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTION|EMOTION|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTION|EMOTIONAL|EMOTIONAL|EMOTIONS|EMOTIONAL|EMOTIONS|EMOTION|EMOTION|EMOTIONS|EMOTIONS|EMOTIONAL|EMOTION|EMOTIONAL|EMOTION|EMOTION|EMOTIONS|EMOTION|EMOTION|EMOTION|EMOTIONAL
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,41-47|2510-2513|3229-3235|3270-3273|3426-3429|3521-3524|3553-3556|3698-3701|3883-3886|3917-3920|4102-4105|4259-4262|4552-4555|4642-4645|4744-4747|5447-5450|5802-5805|5980-5983|6289-6292|6474-6477|6496-6499|6610-6613|6716-6719|7102-7105|7307-7310|7601-7604|8931-8934|8961-8964|9040-9043|9094-9097|9231-9234|9584-9587|9700-9703|9900-9903|10169-10172|10271-10274|10836-10842|11321-11324|11421-11424|11755-11758|11972-11975|12079-12082|12109-12112|12224-12227|12600-12603|12671-12674|12725-12728|13264-13267|13578-13581|13690-13693|14802-14805|15154-15157|15938-15941|16001-16004|16113-16116|16140-16143|16159-16162|16350-16353|17938-17941|18266-18269|18600-18603|18623-18626,SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEARFUL|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
View,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80271,49-52|2694-2697|2866-2869|3647-3650|4738-4741|6422-6425|6895-6898|9023-9026|11433-11436,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,VIEW|VIEW|VIEW|VIEW|VIEW|VIEW|VIEW|VIEW|VIEW
Emotional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25495,119-127|377-385|592-600|1017-1025|1212-1220|1811-1819|2168-2176|2263-2271|4657-4665|5226-5234|5333-5341|7945-7953|8267-8275|8583-8591|8683-8691|8741-8749|13753-13761|15872-15880|16613-16621|17105-17113,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL|EMOTIONAL
Feelings,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77965,145-151|387-394|1027-1034|1093-1100|2922-2929|3237-3244|3258-3265|3875-3881|4090-4097|9773-9780|10017-10024|10391-10398|10534-10541|10844-10851|15402-15409|17149-17156,SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEELING|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELING|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS|FEELINGS
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49155,193-201|1760-1768,PREF|PREF,OBJECTIVE|OBJECTIVE
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88181,193-201|1760-1768,PREF|PREF,OBJECTIVE|OBJECTIVE
Behavior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16326,221-228|437-446|708-717|1607-1614|4030-4039|4150-4159|5655-5664|5936-5943|6218-6225|6353-6362|9528-9537|9678-9685|9760-9767|9848-9855|10097-10106|10448-10455|10710-10717|10730-10739|11170-11179|11208-11217|11275-11284|11479-11488|11879-11888|16164-16171|17383-17390|17623-17632,PREF|SYN|SYN|PREF|SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|PREF|PREF|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN,BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL
