prefLabel,id,from_to,matchType,text
Result,http://psink.de/scio/Result,315-320|4045-4050|19616-19621|24514-24519,PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT
Change,http://psink.de/scio/Change,587-592|14731-14736,PREF|PREF,CHANGE|CHANGE
Treatment,http://psink.de/scio/Treatment,1109-1117|1192-1200,PREF|PREF,TREATMENT|TREATMENT
Increase,http://psink.de/scio/Increase,1902-1909|3029-3036|6043-6050|6449-6456|6943-6950|9847-9854|9883-9890|17250-17257|19472-19479|19638-19645,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,1917-1924,PREF,DECREASE
Hypothesis,http://psink.de/scio/Hypothesis,2002-2011|4222-4231|4680-4689|4843-4852|5567-5576|19436-19445|20099-20108|20653-20662|21189-21198|24443-24452|24855-24864|25247-25256|25480-25489,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Function,http://psink.de/scio/Function,2345-2352|11409-11416|11499-11506|11660-11667|12234-12241|12570-12577|12709-12716|13075-13082|13475-13482|13597-13604|13702-13709|13897-13904|13952-13959|14092-14099|15474-15481|15612-15619|15983-15990|16146-16153|18563-18570|21416-21423|24752-24759,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Left,http://psink.de/scio/Left,5789-5792|15858-15861,PREF|PREF,LEFT|LEFT
Force,http://psink.de/scio/Force,8140-8144|10936-10940|11428-11432|11786-11790|15559-15563|18716-18720|18871-18875|22508-22512,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Weight,http://psink.de/scio/Weight,12170-12175|15777-15782,PREF|PREF,WEIGHT|WEIGHT
Constraint,http://psink.de/scio/Constraint,12271-12280|15601-15610,PREF|PREF,CONSTRAINT|CONSTRAINT
Right,http://psink.de/scio/Right,15389-15393|15900-15904,PREF|PREF,RIGHT|RIGHT
Compression,http://psink.de/scio/Compression,23169-23179,PREF,COMPRESSION
Tissue,http://psink.de/scio/Tissue,23459-23464|23502-23507,PREF|PREF,TISSUE|TISSUE
Observation,http://psink.de/scio/Observation,26223-26233,PREF,OBSERVATION
Injury,http://psink.de/scio/Injury,26382-26387,PREF,INJURY
Brain,http://psink.de/scio/Brain,29627-29631,PREF,BRAIN
Extremity,http://psink.de/scio/Extremity,30558-30566,PREF,EXTREMITY
