prefLabel,id,from_to,matchType,text
Lifting,http://purl.bioontology.org/ontology/MESH/D017770,62-68|342-348|835-841|973-979|1410-1416|1501-1507|1699-1705|1742-1748|1896-1902|1950-1956|2153-2159|2514-2520|3024-3030|4532-4538|4541-4547|4586-4592|4688-4694|5642-5648|6239-6245|7268-7274|7610-7616|7884-7890|7978-7984|9344-9350|9470-9476|11085-11091|11278-11284|11774-11780|11994-12000|12366-12372|12382-12388|12476-12482|12980-12986|13557-13563|14130-14136|14394-14400|16014-16020|16600-16606|16963-16969|17185-17191|17996-18002|18134-18140|18333-18339|18993-18999|19930-19936|20014-20020|20088-20094|20113-20120|20179-20186|20235-20242|20384-20390|21237-21243|23091-23097|24174-24180,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF,LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|LIFTING|CARRYING|CARRYING|CARRYING|LIFTING|LIFTING|LIFTING|LIFTING
Spine,http://purl.bioontology.org/ontology/MESH/D013131,84-88|945-949|1432-1436|1467-1471|1722-1726|1918-1922|1973-1977|2175-2179|6692-6696|12692-12696|12875-12879|14302-14306|14664-14668|15127-15131|16622-16626|18158-18162|18355-18359|21413-21417|22287-22291|22340-22344|24153-24157|24551-24555|24602-24606|24698-24702|25362-25366|25482-25486,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,139-151|21306-21318|22734-22746|23346-23358|24186-24198|25178-25190,PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,143-151|21310-21318|22738-22746|23275-23283|23350-23358|23483-23491|24190-24198|24868-24876|25078-25086|25182-25190,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,148-151|216-219|248-251|561-564|719-722|774-777|1239-1242|1356-1359|1390-1393|1823-1826|2054-2057|2192-2195|2332-2335|2492-2495|2799-2802|2865-2868|2914-2917|3035-3038|3168-3171|3619-3622|3889-3892|4811-4814|8322-8325|8429-8432|8828-8831|8914-8917|9139-9142|9254-9257|9494-9497|9635-9638|12198-12201|12659-12662|12708-12711|13113-13116|13171-13174|13209-13212|13312-13315|13408-13411|13477-13480|13586-13589|13701-13704|14019-14022|14318-14321|15005-15008|15861-15864|16662-16665|18312-18315|18399-18402|18621-18624|21264-21267|21315-21318|21894-21897|21977-21980|22050-22053|22098-22101|22743-22746|23150-23153|23217-23220|23250-23253|23280-23283|23355-23358|23488-23491|24195-24198|24873-24876|25083-25086|25163-25166|25187-25190,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,182-185|261-264|732-735|787-790|1836-1839|2067-2070|2076-2079|2345-2348|2506-2509|2772-2775|2878-2881|3632-3635|3902-3905|4824-4827|8335-8338|8841-8844|9152-9155|9267-9270|9509-9512|12211-12214|12672-12675|13184-13187|13274-13277|13325-13328|13421-13424|13490-13493|13599-13602|13715-13718|14032-14035|18325-18328|21324-21327|22104-22107|23230-23233|25100-25103,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Patients,http://purl.bioontology.org/ontology/MESH/D010361,238-245|1983-1990|2708-2715|4715-4722|8988-8995|14834-14841|18717-18724|24527-24534|24878-24885,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Motion,http://purl.bioontology.org/ontology/MESH/D009038,328-333|920-925|2212-2217|2358-2363|2574-2579|2904-2909|3010-3015|3150-3155|5282-5287|6349-6354|6869-6874|11239-11244|11944-11949|12698-12703|13199-13204|13378-13383|13438-13443|13543-13548|13893-13898|14114-14119|14308-14313|15610-15615|15750-15755|15991-15996|18389-18394|22446-22451|23122-23127,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
Tissues,http://purl.bioontology.org/ontology/MESH/D014024,519-525|1574-1580|15268-15273|15501-15506|17851-17856|25401-25406,PREF|PREF|SYN|SYN|SYN|SYN,TISSUES|TISSUES|TISSUE|TISSUE|TISSUE|TISSUE
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,542-547|14745-14750|15366-15371|16129-16135|21387-21393|21687-21692|21746-21751|21882-21888|22601-22606|23907-23912,SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|SYN|SYN,MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLE
Pain-Free,http://purl.bioontology.org/ontology/MESH/C121034,561-569|2192-2200|2799-2807|2914-2922|3035-3043|3168-3176|8914-8922|9635-9643|12708-12716|13209-13217|14318-14326|18399-18407|23280-23288,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE|PAIN-FREE
Emotions,http://purl.bioontology.org/ontology/MESH/D004644,1115-1122,PREF,EMOTIONS
Humans,http://purl.bioontology.org/ontology/MESH/D006801,1146-1151,PREF,HUMANS
