prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,53-61|317-325|513-521|929-937|1350-1358|1822-1830|1899-1907|2268-2276|3886-3894|3997-4005|4652-4660|4689-4697|4758-4766|4806-4814|5302-5310|7258-7266|8920-8928|10886-10894|10942-10950|11012-11020|11065-11073|11455-11463|11486-11494|11810-11818|12011-12019|16287-16295|16646-16654|17893-17901|17978-17986|18664-18672|18927-18935|19047-19055|19971-19979|20128-20136|20293-20301|20578-20586|20719-20727|20757-20765|21446-21454|21525-21533|22269-22277|22796-22804|23206-23214|24453-24461|24577-24585|24991-24999|26290-26298|26518-26526|27285-27293|27401-27409|27878-27886|28372-28380|28395-28403|28461-28469|28510-28518|28574-28582|28633-28641|33060-33068|33108-33116|33150-33158|33900-33908|36163-36171|37850-37858|39034-39042|39110-39118|39224-39232|39302-39310|39526-39534|44137-44145|44214-44222|45228-45236,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Duration,http://psink.de/scio/Duration,1160-1167|8219-8226|15858-15865|17261-17268|26367-26374|27781-27788|30666-30673,PREF|PREF|PREF|PREF|PREF|PREF|PREF,DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION
Decrease,http://psink.de/scio/Decrease,1320-1327|20104-20111|24314-24321|26488-26495|32992-32999,PREF|PREF|PREF|PREF|PREF,DECREASE|DECREASE|DECREASE|DECREASE|DECREASE
Recovery,http://psink.de/scio/Recovery,1968-1975|2829-2836|2988-2995|3059-3066|4130-4137|17214-17221|17235-17242|32667-32674|39371-39378,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RECOVERY|RECOVERY|RECOVERY|RECOVERY|RECOVERY|RECOVERY|RECOVERY|RECOVERY|RECOVERY
Function,http://psink.de/scio/Function,2857-2864|35176-35183|45576-45583,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
Current,http://psink.de/scio/Current,3878-3884|4885-4891|30945-30951|36511-36517|37212-37218|40263-40269|40796-40802,PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Significance,http://psink.de/scio/Significance,7442-7453,PREF,SIGNIFICANCE
Publication,http://psink.de/scio/Publication,7515-7525|8245-8255|8310-8320|14172-14182,PREF|PREF|PREF|PREF,PUBLICATION|PUBLICATION|PUBLICATION|PUBLICATION
Change,http://psink.de/scio/Change,8188-8193|9472-9477|9518-9523|10920-10925|14229-14234|14438-14443|14623-14628|19953-19958|21892-21897|22251-22256|22401-22406|42219-42224,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Randomization,http://psink.de/scio/Randomization,8797-8809|16821-16833,PREF|PREF,RANDOMIZATION|RANDOMIZATION
Increase,http://psink.de/scio/Increase,13221-13228,PREF,INCREASE
Force,http://psink.de/scio/Force,17394-17398,PREF,FORCE
Injury,http://psink.de/scio/Injury,34050-34055|40640-40645|41960-41965|45287-45292,PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY
Direction,http://psink.de/scio/Direction,46062-46070,PREF,DIRECTION
