prefLabel,id,from_to,matchType,text
chronic low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0457949,42-62|1244-1264|1557-1577|28119-28139|29291-29311|29416-29436|31195-31215|31341-31361|31932-31952|33753-33773|33921-33941|34278-34298,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,42-48|1244-1250|1557-1563|1973-1979|2096-2102|2608-2614|26444-26450|28119-28125|28786-28792|29148-29154|29291-29297|29416-29422|29608-29614|31195-31201|31341-31347|31518-31524|31932-31938|32100-32106|32843-32849|33753-33759|33921-33927|34083-34089|34278-34284,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,50-62|1252-1264|1472-1484|1487-1489|1565-1577|1867-1869|28127-28139|28218-28230|28666-28678|29299-29311|29424-29436|29910-29922|30108-30120|30297-30309|30770-30782|31203-31215|31349-31361|31538-31550|31739-31751|31940-31952|32408-32420|32699-32711|32861-32873|33339-33351|33761-33773|33929-33941|34286-34298|34345-34357,PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LBP|LOW BACK PAIN|LBP|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,50-52|1252-1254|1472-1474|1565-1567|9903-9905|18204-18206|28127-28129|28218-28220|28666-28668|29299-29301|29424-29426|29910-29912|30108-30110|30297-30299|30770-30772|31203-31205|31349-31351|31538-31540|31739-31741|31940-31942|32408-32410|32699-32701|32861-32863|33339-33341|33761-33763|33929-33931|34286-34288|34345-34347,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,54-62|1256-1264|1476-1484|1569-1577|3056-3064|5186-5194|5231-5239|28131-28139|28222-28230|28575-28583|28670-28678|29156-29164|29303-29311|29428-29436|29616-29624|29914-29922|30112-30120|30301-30309|30774-30782|31207-31215|31353-31361|31542-31550|31743-31751|31944-31952|32329-32337|32412-32420|32703-32711|32865-32873|33343-33354|33343-33351|33765-33773|33933-33941|34290-34298|34349-34357,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,54-62|1256-1264|1476-1484|1569-1577|3056-3064|5186-5194|5231-5239|28131-28139|28222-28230|28575-28583|28670-28678|29156-29164|29303-29311|29428-29436|29616-29624|29914-29922|30112-30120|30301-30309|30774-30782|31207-31215|31353-31361|31542-31550|31743-31751|31944-31952|32329-32337|32412-32420|32703-32711|32865-32873|33343-33351|33765-33773|33933-33941|34290-34298|34349-34357,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,59-62|159-162|557-560|1261-1264|1418-1421|1481-1484|1574-1577|1772-1775|1892-1895|2040-2043|2159-2162|2233-2236|2616-2619|3061-3064|5191-5194|5236-5239|6292-6295|9369-9372|9385-9388|9486-9489|9794-9797|9851-9854|10581-10584|10646-10649|10672-10675|10707-10710|11943-11946|12012-12015|12040-12043|12319-12322|12816-12819|19278-19281|22373-22376|22430-22433|22646-22649|22857-22860|23003-23006|23189-23192|23274-23277|24446-24449|25539-25542|26452-26455|28056-28059|28136-28139|28227-28230|28580-28583|28675-28678|28794-28797|29049-29052|29090-29093|29127-29130|29161-29164|29308-29311|29433-29436|29507-29510|29621-29624|29874-29877|29919-29922|30117-30120|30234-30237|30306-30309|30312-30315|30481-30484|30615-30618|30779-30782|30985-30988|31173-31176|31212-31215|31287-31290|31358-31361|31547-31550|31748-31751|31949-31952|32124-32127|32217-32220|32334-32337|32417-32420|32461-32464|32708-32711|32870-32873|33043-33046|33198-33201|33299-33302|33348-33351|33522-33525|33610-33613|33770-33773|33938-33941|34107-34110|34295-34298|34354-34357,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,59-62|159-162|557-560|1261-1264|1418-1421|1481-1484|1574-1577|1772-1775|1892-1895|2040-2043|2159-2162|2233-2236|2616-2619|3061-3064|5191-5194|5236-5239|6292-6295|9369-9372|9385-9388|9486-9489|9794-9797|9851-9854|9874-9880|10581-10584|10646-10649|10672-10675|10707-10710|11943-11946|12012-12015|12040-12043|12319-12322|12816-12819|19278-19281|22373-22376|22430-22433|22646-22649|22857-22860|22934-22940|23003-23006|23189-23192|23274-23277|24446-24449|25539-25542|26452-26455|28056-28059|28136-28139|28227-28230|28580-28583|28675-28678|28794-28797|29049-29052|29090-29093|29127-29130|29161-29164|29308-29311|29433-29436|29507-29510|29621-29624|29874-29877|29919-29922|30117-30120|30234-30237|30306-30309|30312-30315|30481-30484|30615-30618|30779-30782|30985-30988|31173-31176|31212-31215|31287-31290|31358-31361|31547-31550|31748-31751|31949-31952|32124-32127|32217-32220|32334-32337|32417-32420|32461-32464|32708-32711|32870-32873|33043-33046|33198-33201|33299-33302|33348-33351|33522-33525|33610-33613|33770-33773|33938-33941|34107-34110|34295-34298|34354-34357,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,135-144|806-815|906-913|1054-1063|1216-1225|1404-1413|2839-2848|2928-2937|3044-3053|3133-3142|4552-4559|6377-6384|6633-6640|6789-6796|6937-6946|7436-7445|7557-7566|7647-7656|7845-7854|10261-10270|12597-12604|12712-12721|12745-12752|12892-12901|13033-13040|13305-13312|18946-18955|19174-19183|19431-19438|20010-20017|20212-20219|20543-20550|20817-20824|21134-21143|22696-22705|22895-22904|23203-23212|23476-23485|23567-23574|23638-23647|26701-26710|29560-29567|30735-30742,PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|SYN|SYN,ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITIES|ACTIVITIES|ACTIVITY|ACTIVITY
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,164-170|617-623|1777-1783|2045-2051|2164-2170|2238-2244|9799-9805|14217-14223|15694-15700|18766-18772|18895-18901|22292-22298|22579-22585|25092-25098|29054-29060|29132-29138|33304-33310|33527-33533,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,181-190|1427-1436|2074-2083|5448-5457|5467-5476|5617-5626|6317-6326|10057-10066|10141-10150|10203-10212|10510-10519|11982-11991|22406-22415|26166-26175|29166-29175|29758-29767|31015-31024|31477-31486|31718-31727|32394-32403|32661-32670|34304-34313,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
levels,http://sbmi.uth.tmc.edu/ontology/ochv#C0441889,192-197|23279-23284,PREF|PREF,LEVELS|LEVELS
examined,http://sbmi.uth.tmc.edu/ontology/ochv#C0332128,211-218|3450-3457,PREF|PREF,EXAMINED|EXAMINED
short,http://sbmi.uth.tmc.edu/ontology/ochv#C0205167,253-257|21045-21049|22055-22059|26516-26520,PREF|PREF|PREF|PREF,SHORT|SHORT|SHORT|SHORT
version,http://sbmi.uth.tmc.edu/ontology/ochv#C0333052,270-276|3957-3963|9224-9230|10028-10034|21062-21068|26533-26539|27016-27022,PREF|PREF|PREF|PREF|PREF|PREF|PREF,VERSION|VERSION|VERSION|VERSION|VERSION|VERSION|VERSION
