prefLabel,id,from_to,matchType,text
Current,http://psink.de/scio/Current,1103-1109|7358-7364|7775-7781|10389-10395|13780-13786|21830-21836|22872-22878|32823-32829|33914-33920|35948-35954|36720-36726|43987-43993,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Injury,http://psink.de/scio/Injury,1924-1929|5046-5051|6415-6420|21269-21274|30743-30748|42990-42995|44106-44111|46944-46949|47214-47219,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Brain,http://psink.de/scio/Brain,2229-2233|2848-2852|3775-3779|4216-4220|7997-8001|13646-13650|13677-13681|13858-13862|13968-13972|14345-14349|15681-15685|16030-16034|16186-16190|17140-17144|18589-18593|22398-22402|22570-22574|23066-23070|23579-23583|23937-23941|24603-24607|29487-29491|30359-30363|34119-34123|34524-34528|36920-36924|37884-37888|39752-39756|40877-40881|42501-42505|42662-42666|43428-43432|47455-47459|48816-48820|49927-49931,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Distance,http://psink.de/scio/Distance,2453-2460|2610-2617,PREF|PREF,DISTANCE|DISTANCE
Age,http://psink.de/scio/Age,4657-4659|4868-4870|17637-17639,PREF|PREF|PREF,AGE|AGE|AGE
Duration,http://psink.de/scio/Duration,4855-4862|8705-8712|10482-10489|12065-12072,PREF|PREF|PREF|PREF,DURATION|DURATION|DURATION|DURATION
Result,http://psink.de/scio/Result,6405-6410|27574-27579|30784-30789,PREF|PREF|PREF,RESULT|RESULT|RESULT
Person,http://psink.de/scio/Person,8743-8748,PREF,PERSON
Observation,http://psink.de/scio/Observation,10111-10121,PREF,OBSERVATION
Clip,http://psink.de/scio/Clip,10137-10140|12059-12062,PREF|PREF,CLIP|CLIP
Volume,http://psink.de/scio/Volume,10873-10878|10973-10978|11311-11316,PREF|PREF|PREF,VOLUME|VOLUME|VOLUME
Tissue,http://psink.de/scio/Tissue,11548-11553|35113-35118,PREF|PREF,TISSUE|TISSUE
Function,http://psink.de/scio/Function,12143-12150|13395-13402|14054-14061|14635-14642|22494-22501|42507-42514,PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Weight,http://psink.de/scio/Weight,14357-14362|30020-30025|30090-30095|30160-30165|30230-30235|30300-30305,PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Left,http://psink.de/scio/Left,19628-19631|19688-19691|19849-19852|20294-20297|20449-20452|20512-20515|20688-20691|20816-20819|22456-22459|29505-29508,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,19656-19660|19817-19821|20186-20190|20342-20346|20477-20481|20540-20544|22465-22469|29514-29518|30937-30941|38923-38927,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Extremity,http://psink.de/scio/Extremity,33270-33278,PREF,EXTREMITY
Rostral,http://psink.de/scio/Rostral,34903-34909,PREF,ROSTRAL
Event,http://psink.de/scio/Event,39824-39828,PREF,EVENT
Treatment,http://psink.de/scio/Treatment,49601-49609,PREF,TREATMENT
