prefLabel,id,from_to,matchType,text
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,27-30|219-222|356-359|405-408|569-572|596-599|622-625|1443-1446|1494-1497|1639-1642|1649-1652|1787-1790|1977-1980|2112-2115|2293-2296|2333-2336|2992-2995|3024-3027|3090-3093|3384-3387|3590-3593|3781-3784|4388-4391|4531-4534|4564-4567|4622-4625|4684-4687|7855-7858|8572-8575|8695-8698|8902-8905|9139-9142|9339-9342|9443-9446|9770-9773|9967-9970|10489-10492|11287-11290|11370-11373|11516-11519|11550-11553|11915-11918|12562-12565|12806-12809|13355-13358|13445-13448|13669-13672|13777-13780|13807-13810|13837-13840|13867-13870|13973-13976|14076-14079|14165-14168|14226-14229|14246-14249|14266-14269|14349-14352|14857-14860|14992-14995|15101-15104|15284-15287|15366-15369|15616-15619|15828-15831|16194-16197|16467-16470|16551-16554|16572-16575|16812-16815|16833-16836|16858-16861|16985-16988|17058-17061|17334-17337|17457-17460|17551-17554|17841-17844|17881-17884|18031-18034|18104-18107|18204-18207|18233-18236|18570-18573|18609-18612|18833-18836|18853-18856|19293-19296|19335-19338|19457-19460|19568-19571|19610-19613|19641-19644|19929-19932|19958-19961|20064-20067|20169-20172|20390-20393|20410-20413|20487-20490|20714-20717|20766-20769|21009-21012|21077-21080|21646-21649|21683-21686|21712-21715|21806-21809|22101-22104|22315-22318|22570-22573|22627-22630|23080-23083|23113-23116|23190-23193|24435-24438|27009-27012|27222-27225|27257-27260|27291-27294|27342-27345|27742-27745|29167-29170|29562-29565|30104-30107|31260-31263|31973-31976|35428-35431|37196-37199|37265-37268|37298-37301|37685-37688|37769-37772|37837-37840|38063-38066|38528-38531|38566-38569|38635-38638|39010-39013|39048-39051|39114-39117|39603-39606|39674-39677|39778-39781|39881-39884|40004-40007|40089-40092|40158-40161|40271-40274|40320-40323|40370-40373|40551-40554|40572-40575|40594-40597|40680-40683|40686-40689|41026-41029|41123-41126|41275-41278|41312-41315|41346-41349|41363-41366|41628-41631|41649-41652|41866-41869|41991-41994|42088-42091|42202-42205|42321-42324|42349-42352|42388-42391|42414-42417|42496-42499|42616-42619|42852-42855|42947-42950|43008-43011|43189-43192|43250-43253|43386-43389|43429-43432|43568-43571|43684-43687|43741-43744|43849-43852|43921-43924|44021-44024|44045-44048|44188-44191|44359-44362|44534-44537|44614-44617|44686-44689|45110-45113|45192-45195|45218-45221,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25648,32-38|224-230|1448-1454|1654-1660|1982-1988|3029-3035|4393-4399|4689-4695|5466-5472|11137-11143|11521-11527|13360-13366|13450-13456|14271-14277|14703-14709|15137-15143|16152-16158|16199-16205|17846-17852|18575-18581|19298-19304|19340-19346|19462-19468|19573-19579|19615-19621|19813-19819|20980-20986|21014-21020|21811-21817|24440-24446|25853-25859|26329-26335|27607-27613|29567-29573|30093-30099|31729-31735|31962-31968|33539-33549|34473-34479|35433-35439|37090-37100|37318-37329|39015-39021|39783-39789|40375-40381|41317-41323|41384-41395|42666-42676,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|ASSOCIATION|RELATED|RELATED|ASSOCIATION|RELATIONSHIP|RELATED|RELATED|RELATED|RELATED|RELATIONSHIP|ASSOCIATION
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,40-43|203-206|232-235|238-241|348-351|551-554|588-591|1187-1193|1456-1459|1486-1489|1662-1665|1822-1825|1969-1972|2092-2095|2257-2260|2324-2327|2584-2587|2804-2807|2845-2848|3037-3040|3059-3062|3082-3085|3096-3099|3112-3115|3375-3378|3570-3573|3723-3726|4372-4375|4401-4404|4407-4410|4523-4526|4668-4671|4697-4700|4703-4706|8554-8557|8687-8690|10959-10962|14058-14061|14341-14344|15540-15543|19733-19736|19893-19896|20027-20030|20132-20135|21675-21678|21819-21822|22056-22059|22186-22189|22247-22250|22297-22300|22388-22391|22562-22565|22619-22622|22951-22954|23045-23048|23182-23185|24448-24451|24768-24771|27001-27004|27015-27018|27031-27034|27101-27104|27204-27207|27249-27252|27283-27286|27334-27337|27579-27582|27707-27710|29473-29476|29575-29578|30088-30091|30499-30502|30633-30636|30980-30983|31237-31240|31417-31420|31527-31530|31562-31565|31957-31960|35441-35444|38054-38057|38520-38523|38627-38630|39023-39026|39289-39292|39791-39794|39956-39959|40122-40125|40223-40226|40383-40386|40448-40451|40508-40511|40672-40675|40967-40970|41247-41250|41325-41328|41525-41528|41585-41588|41702-41705|41910-41913|42137-42140|42290-42293|42331-42334|42406-42409|42488-42491|42608-42611|42977-42980|43446-43449|43702-43705|43907-43910|44479-44482,PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,51-55|4196-4200|5177-5181|5387-5391|5922-5926|9010-9014|10905-10909|13223-13227|21532-21536|25663-25667|28280-28284|28424-28428|29653-29657|32224-32228|32485-32489|43970-43974,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Review,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42729,102-107|728-733|4269-4274|4799-4804|6211-6216|24856-24861|30139-30144|30357-30362|33110-33115|34703-34708|36014-36019|37395-37400|37928-37933,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW
Measurement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25209,115-125|168-174|340-346|1149-1155|1428-1438|3672-3678|4280-4290|4340-4346|4515-4521|4890-4900|5244-5254|5341-5347|6430-6440|6767-6773|6867-6873|6942-6948|6973-6979|7045-7051|7177-7183|7263-7269|21784-21790|21883-21889|22380-22386|22611-22617|23634-23640|24284-24290|24333-24339|24416-24422|24427-24433|24491-24497|24732-24738|29453-29459|29554-29560|29613-29619|31019-31025|32080-32086|33407-33413|34569-34575|35537-35543|36400-36406|36733-36743|38512-38518|40664-40670|42600-42606,PREF|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|PREF|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN,MEASUREMENT|MEASURE|MEASURE|MEASURE|MEASUREMENT|MEASURE|MEASUREMENT|MEASURE|MEASURE|MEASUREMENT|MEASUREMENT|MEASURE|MEASUREMENT|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASUREMENT|MEASURE|MEASURE|MEASURE
Optimum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75911,160-166|4332-4338,PREF|PREF,OPTIMUM|OPTIMUM
Specified,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38024,180-187|4352-4359|34508-34516,SYN|SYN|PREF,SPECIFIC|SPECIFIC|SPECIFIED
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,208-216|556-564|2262-2270|2395-2403|2809-2817|3728-3736|4377-4385|4673-4681|8559-8567|9194-9202|9226-9234|9356-9364|9463-9471|9624-9632|9668-9676|10066-10074|10385-10393|10964-10972|12003-12011|12125-12133|14063-14071|14758-14766|15308-15316|15390-15398|15657-15665|15878-15886|17005-17013|17646-17654|17680-17688|17709-17717|17774-17782|19777-19785|20918-20926|22061-22069|22191-22199|22252-22260|22302-22310|22393-22401|24773-24781|27209-27217|29478-29486|30504-30512|30638-30646|31422-31430|31532-31540|31567-31575|31810-31818|40127-40135|40392-40400|40453-40461|40513-40521|40972-40980|41530-41538|41590-41598|41707-41715|41915-41923|42142-42150|42295-42303|42336-42344|44484-44492,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,246-253|2601-2608|2853-2860|4415-4422|4711-4718|27118-27125|39964-39971|40231-40238|42985-42992|43454-43461|43710-43717,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
